image_path,question,answer, answer
b4/b421fb26.jpg,What is the product type?,Accessory,
b4/b421fb26.jpg,What is the item's color?,Multicolor,
b4/b421fb26.jpg,What is the brand name?,CGTL,
b4/b421fb26.jpg,What is the pattern?,Flag,
83/83222ad0.jpg,What is the product's brand?,Wickedly,
83/83222ad0.jpg,What kind of product is this?,Mustard,
83/83222ad0.jpg,What is the bottle's color?,Yellow,
83/83222ad0.jpg,What level of spice is it?,Medium,
83/83222ad0.jpg,What flavor is it?,Jalapeno,
83/83222ad0.jpg,What is the item's weight?,11.75,
93/93c38466.jpg,What is the brand?,Wickedly,
93/93c38466.jpg,What kind of bottle is it?,Squeeze,
93/93c38466.jpg,What is the spice level?,Medium,
93/93c38466.jpg,What food is this?,Mustard,
93/93c38466.jpg,What is the bottle material?,Plastic,
7a/7a136684.jpg,What brand is it?,Wickedly,
7a/7a136684.jpg,What type of product is it?,Grocery,
7a/7a136684.jpg,What is the bottle material?,Plastic,
7a/7a136684.jpg,What level of spice is it?,Medium,
7a/7a136684.jpg,What is the main flavor?,Mustard,
20/20533b83.jpg,What brand is this?,Wickedly,
20/20533b83.jpg,What is the spice level?,Medium,
20/20533b83.jpg,What type of bottle is it?,Squeeze,
20/20533b83.jpg,What food is this?,Mustard,
20/20533b83.jpg,What is the main flavor?,Jalapeno,
44/443bf0e0.jpg,What is the product brand?,Wickedly,
44/443bf0e0.jpg,What type of product is this?,Grocery,
44/443bf0e0.jpg,What flavor is this?,Jalapeno,
44/443bf0e0.jpg,What color is the liquid?,Yellow,
44/443bf0e0.jpg,What is the bottle material?,Plastic,
45/45dd979a.jpg,What is the product brand?,Wickedly,
45/45dd979a.jpg,What kind of product is this?,Grocery,
45/45dd979a.jpg,What pepper is included?,Jalapeno,
45/45dd979a.jpg,What spice level is it?,Medium,
45/45dd979a.jpg,Is it an Amazon brand?,Yes,
45/45dd979a.jpg,What color is turmeric?,Color,
45/45dd979a.jpg,Is it gluten-free?,No,
45/45dd979a.jpg,Is it hot sauce?,No,
02/0257d665.jpg,What brand is it?,Solimo,
02/0257d665.jpg,What is the style?,Pattern,
02/0257d665.jpg,What is the main color?,Black,
02/0257d665.jpg,What is the material?,Silicone,
02/0257d665.jpg,What is the pattern?,Stars,
02/0257d665.jpg,What is the phone model?,Itel,
02/0257d665.jpg,What is the product type?,Case,
2f/2f357c87.jpg,What is the case's material?,Silicone,
2f/2f357c87.jpg,What is the brand?,Solimo,
2f/2f357c87.jpg,What is the phone's style?,Pattern,
2f/2f357c87.jpg,What is the case's color?,Multicolor,
2f/2f357c87.jpg,What is the pattern?,Butterfly,
2f/2f357c87.jpg,What is the product type?,Case,
85/85192c70.jpg,What is the brand?,Solimo,
85/85192c70.jpg,What is the case's pattern?,Butterfly,
85/85192c70.jpg,What is the case color?,Multicolor,
85/85192c70.jpg,What is it made of?,Silicone,
85/85192c70.jpg,What is the phone model?,A25,
85/85192c70.jpg,What is the case style?,Pattern,
85/85192c70.jpg,What are sides?,Transparent,
ff/fff5daaa.jpg,What brand is this case?,Solimo,
ff/fff5daaa.jpg,What is the case's color?,Others,
ff/fff5daaa.jpg,Is the case printed?,Yes,
ff/fff5daaa.jpg,What is the pattern?,Peacock,
ff/fff5daaa.jpg,What is the product type?,Case,
ff/fff5daaa.jpg,Is the back cover hard?,Yes,
ff/fff5daaa.jpg,What is the design?,Rangoli,
01/0141531a.jpg,What brand is this?,Solimo,
01/0141531a.jpg,Is it colorful?,Yes,
01/0141531a.jpg,What is the product?,Case,
01/0141531a.jpg,What is the pattern?,Peacock,
01/0141531a.jpg,Is it hard?,Yes,
49/49b1b22b.jpg,What is the brand?,Solimo,
49/49b1b22b.jpg,What is the main color?,Others,
49/49b1b22b.jpg,What type of case?,Back,
49/49b1b22b.jpg,What is the pattern?,Rangoli,
49/49b1b22b.jpg,What is the print type?,3D,
49/49b1b22b.jpg,Is it hard?,Yes,
49/49b1b22b.jpg,What is it for?,Asus,
66/66f3a68c.jpg,What is the brand?,Solimo,
66/66f3a68c.jpg,What type of cover is this?,Case,
66/66f3a68c.jpg,What is the case's color?,Others,
66/66f3a68c.jpg,Is it hard or soft?,Hard,
66/66f3a68c.jpg,What is the item shape?,Rangoli,
ee/ee8ee952.jpg,What is the product's brand?,Solimo,
ee/ee8ee952.jpg,What is the main color?,Others,
ee/ee8ee952.jpg,What is the product type?,Case,
ee/ee8ee952.jpg,Is it patterned?,Yes,
ee/ee8ee952.jpg,Is it slim?,Yes,
ee/ee8ee952.jpg,What kind of printing?,3D,
e2/e29e0326.jpg,What is the case's brand?,Solimo,
e2/e29e0326.jpg,What is the dominant color?,Yellow,
e2/e29e0326.jpg,Is the back cover hard?,Yes,
e2/e29e0326.jpg,What is printed on case?,Valley,
e2/e29e0326.jpg,What is the case's type?,Hard,
e2/e29e0326.jpg,What is phone brand?,Vivo,
ee/ee8ee952.jpg,What is the product type?,Case,
ee/ee8ee952.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What is the color?,Others,
ee/ee8ee952.jpg,What is the cover style?,Back,
ee/ee8ee952.jpg,What type of printing?,3D,
49/49b1b22b.jpg,What is the phone case color?,Others,
49/49b1b22b.jpg,What is the brand?,Solimo,
49/49b1b22b.jpg,What is the print style?,3D,
49/49b1b22b.jpg,What is the product type?,Case,
49/49b1b22b.jpg,What phone is this for?,Vivo,
78/781327c7.jpg,What brand is this case?,Solimo,
78/781327c7.jpg,What is the case's color?,Others,
78/781327c7.jpg,What is the print style?,Printed,
78/781327c7.jpg,Is it a hard case?,Yes,
78/781327c7.jpg,What is the cover design?,Valley,
66/66f3a68c.jpg,What brand is it?,Solimo,
66/66f3a68c.jpg,What is the color?,Others,
66/66f3a68c.jpg,What is it made of?,Hard,
66/66f3a68c.jpg,What is its design?,Printed,
66/66f3a68c.jpg,What is the model?,Y69,
66/66f3a68c.jpg,What type is this?,Case,
f6/f6f7300d.jpg,What color is the case?,Blue,
